"EventId","Rank","Name","Alliance","Score","UserId"
"120024","20","ESPN LIES 69","DEFl","17851392","1956097545002009"
"120024","21","MetalFace Stone","DEFl","17478486","1243117540002009"
"120024","22","보조개 Witch","DEFl","16880481","1039210403002009"
"120024","23","ADMIN V","DEFl","16646442","1513152871002009"
"120024","24","KANG편돌","DEFl","15364653","1066495923002009"
"120024","25","Asmodean76","DEFl","13229994","1339444241002009"
"120024","26","NicocoLetsGoPSG","DEFl","12990717","1207146206002009"
"120024","27","OG COTN MFKER","DEFl","12440481","1670546139002009"
"120024","28","Xxpacifist","DEFl","12331119","1220371996002009"
"120024","29","StunnerOtis","DEFl","11916315","1954642487002009"
"120024","30","Advillain","DEFl","11619228","1881113463002009"
"120024","31","BoffaDozzeee です","DEFl","11267199","1412019391002009"
"120024","32","Beat It","DEFl","11152896","1155608505002009"
"120024","33","단비 FreeM","DEFl","10967664","1291183795002009"
"120024","34","Kung Fu Yoda","DEFl","10660770","1912186114002009"
"120024","35","IveGotBeef 햄버거","DEFl","10575609","1882477040002009"
"120024","36","IArma XI","DEFl","9582762","1493440312002009"
"120024","37","SawGuns Ghost","DEFl","9099600","1765321996002009"
"120024","38","ElusiveSavvy","DEFl","8925753","1621795100002009"
"120024","39","Guapo III","DEFl","8749065","1955858114002009"
"120024","40","WheresDaBeef 암소","DEFl","7965873","1418400186002009"
"120024","41","Gtoboi","DEFl","7061436","1662911906002009"
"120024","42","Brbsmoke","DEFl","6950880","1955909125002009"
"120024","43","GhostTaxi  령","DEFl","6870744","1156831515002009"
"120024","44","VenomVisíon","DEFl","6836136","1396639825002009"
"120024","45","Pennah","DEFl","6647898","1550635285002009"
"120024","46","Major Boom Shakalaka","DEFl","6340035","1724153165002009"
"120024","47","Odogg20100","DEFl","4950072","1915304141002009"
"120024","48","Random word","DEFl","4912092","1683911371002009"
"120024","49","Abz ツ","DEFl","4590135","1798612518002009"
"120024","50","Junior Vorani","DEFl","4513458","1398218860002009"
"120024","51","亗 Ganssup","KTHR","4127622","1105966165002009"
"120024","52","Dragonfly5280","DEFl","4069698","1868610843002009"
"120024","53","Stinkyf33t","DEFl","4038099","1335516399002009"
"120024","54","Jenära","DEFl","3544299","1955800939002009"
"120024","55","Poochucker","DEFl","3429405","1501336988002009"
"120024","56","tēēj","DEFl","3313242","1955756618002009"
"120024","57","Nuke Doctor","DEFl","2972298","1955890708002009"
"120024","58","Sparta2966","DEFl","2784720","1350762850002009"
"120024","59","5H13LDUR53LF","DEFl","2605488","1217994156002009"
"120024","60","zekai66","DEFl","2340696","1909069627002009"
"120024","61","Tech100","DEFl","2308827","1651408835002009"
"120024","62","Binxxxyy","DEFl","1778031","1956065017002009"
"120024","63","Commander 39c132009","","1638738","1810943858002009"
"120024","64","Masterball1","DEFl","1531755","1282191033001997"
"120024","65","Wookasian","DEFl","1417686","1672057584002009"
"120024","66","Santtos7","DEFl","1382154","1782850244002009"
"120024","67","Blood Angel AB","DEFl","1357065","1908664231002009"
"120024","68","Ravėn","DEFl","1235796","1086099410002001"
"120024","69","볼보 8115 volvo","DEFl","1167357","1032401035002009"
"120024","70","ChKnMcStu 卡津","DEFl","1051557","1864788746002009"
"120024","71","Prome42","DEFl","1026507","1955717408002009"
"120024","72","카두바 caduba","DEFl","929439","1181086471002009"
"120024","73","AccuracY","DEFl","837111","1418302934002009"
"120024","74","kdashh22","DEFl","600369","1113719835002009"
"120024","75","pretty 이쁜엿옹","DEFl","510732","1879664984002009"
"120024","76","YïppeeKïYAY MF","DEFl","487704","2167178556002009"
"120024","77","Sal51","DEFl","455295","1465387733002009"
"120024","78","Glockmeep","DEFl","420909","1648780819002009"
"120024","79","ĤappyĞĄMĘ 좋아","KTHR","370128","1126282745002009"
"120024","80","SilentCircus","DEFl","352539","1956372992002009"
"120024","81","호세카 hosecar","DEFl","321429","1252757549002009"
"120024","82","Lord Hulkster","DEFl","297006","1597493214002001"
"120024","83","Äāmøň","DEFl","271599","1783142248002009"
"120024","84","풀잎love","DEFl","248391","1912489501002009"
"120024","85","FLuFFy 멍멍","DEFl","229764","1171733078002009"
"120024","86","PORKYWAFFLE","DEFl","221898","2168179349002009"
"120024","87","Juniper Skye MurrOW","DEFl","204900","1955840422002009"
"120024","88","Versace club","DEFl","191037","1230726778002009"
"120024","89","보리HA","","172722","1157682244002009"
"120024","90","Stephy0255","DEFl","168201","1169494008002001"
"120024","91","Fugarewe","DEFl","155967","1047789677002009"
"120024","92","루이୨୧ louis","DEFl","75525","1105149285002009"
"120024","93","Tiffyspurg","DEFl","55671","2200388647002009"
"120024","94","OGStoltz77","DEFl","24255","1955815283002009"
"120024","95","STRATIX 360","DEFl","7260","1794408508002009"
"120024","96","Strike Anywhere","H8tr","4290","1262810720002009"
"120024","97","God   Of   War","DEFl","3135","1042924500002009"
"120024","98","카키kaki","DEFl","1584","1880001838002009"
"120022","1","TowPigy","DEFl","1543110","1956008371002009"
"120022","2","ThunderGrunt Palblo","DEFl","1541090","1710268967002009"
"120022","3","원oneღ","DEFl","1229510","1759318546002009"
"120022","4","Taxan Killer 에릭","DEFl","1180080","1771461583002009"
"120022","5","Kor Devil","DEFl","968860","1042263425002009"
"120022","6","ESPN LIES 69","DEFl","889410","1956097545002009"
"120022","7","KANG편돌","DEFl","824100","1066495923002009"
"120022","8","p0ppa","DEFl","813060","1243686140002009"
"120022","9","DrDeadCatS","DEFl","686340","1862845445002009"
"120022","10","ĤappyĞĄMĘ 좋아","KTHR","661360","1126282745002009"
"120022","11","보조개 Witch","DEFl","611560","1039210403002009"
"120022","12","단비 FreeM","DEFl","601740","1291183795002009"
"120022","13","SawGuns Ghost","DEFl","498810","1765321996002009"
"120022","14","중융JUNGღ","DEFl","495610","1687239939002009"
"120022","15","플래티넘TH","DEFl","494410","1906030159002009"
"120022","16","IArma XI","DEFl","490830","1493440312002009"
"120022","17","Blood Angel AB","DEFl","460050","1908664231002009"
"120022","18","Jenära","DEFl","448730","1955800939002009"
"120022","19","IJONASI 이죠나시","DEFl","441770","1249945547002009"
"120022","20","LĘE Şeúng Ĥun","DEFl","422230","1018658388002009"
"120022","21","Buttons F2F","fLAG","408170","1696563170002009"
"120022","22","Pennah","DEFl","406500","1550635285002009"
"120022","23","발록 balrog","DEFl","391030","1006520614002009"
"120022","24","Stinkyf33t","DEFl","379860","1335516399002009"
